No;username;komentar;pariwisata;kategori
12;Hendrosugisno609;1 ini dianggap telah menjadi penahan dan pelindung pada saat terjangan tsunami tahun 1994 lalu.  ;1;3
13;4nd1;Dari stasiun karang asem geber trus speedometer motor sewaan biar bs sampai tempat ini menjelang matahari terbenam yg sblmnya saya mampir dulu ke jawatan. Sampai sini sudah hampir matahari terbenam dgn estimasi perjalanan kalau lgsng dari stasiun karangasem kira2 2jam lebih.Pantainya mantep keren dan bagus serta unik ada bukit kecil di dkat pantai.Ga nyesel kmari jauh2 uda naik motor boncengan dgn teman baru knal yg jg solo traveling di homestay karangasem...tapi saya nyetir sendiri man tman.Gpp yg penting enjoy;1;1
14;a_roch1;Saya bersama teman sempat datang kesini berdasarkan rekomendasi driver yang kami sewa. Jalan menuju kawasan wisata ini sudah sangat bagus: beraspal dan cukup luas. Untuk masuk kawasan pantai, kami diharuskan membayar biaya parkir mobil.  Pantainya sendiri, menurut saya pribadi, agak biasa saja, namun sangat padat pengunjung. Banyak sekali pengunjung domestik yang datang melihat pantai sambil menanti sunset. Mungkin karena ingin melihat pasir pantai berubah menjadi merah, seperti namanya.;1;2
15;G@lih;PANTAI BERPASIR PUTIH;1;2
16;diankoernia;Pantai ini sudah ramai, banyak tempat makan, tempat parkir, kursi pantai dll. Menurut saya sih biasa saja. Mungkin bagi pecinta surfing yang akan lebih menikmati.;1;2
17;Sien77;Perjalanan cukup jauh dengan jalanan yg rusak berlubang. tapi tidak ada yang spesial di pantai ini yang bikin wow.;1;2
18;Irene J;Tidak seperti yang ditampilkan oleh photo2 yang indah di instagram....perjalanan cukup jauh dari Banyuwangi.;1;2
19;galinie;Lokasi pantai bisa di capai dalam 3 jam perjalanan darat dari Banyuwangi ke arah selatan. ;1;3
20;Fitriy D;Tempat terbaik santai dan liat sunset_, betah banget disini, pantainya luas, pokoknyaa sukak, sukak sukakkkk;1;1
21;Santy L;Pantai merah atau biasa di sebut pulo merah.. Tempatnya asri, dan indah.. Ditempat ini, para pengujung bisa bersantai, tak hanya melihat pantai yg indah tapi juga bisa mancing dan berselancar disini. Ada penjual makanan juga loh tempat ini.. Rekomended.;1;1
22;arwana tour malang;membaca promosi tentang laut merah memang luar biasa, saat tiba disana terkesan parkir kendaraan agak semrawut. kalau pemandangan lautnya ok ok aja;1;2
23;Wayan S;Suasana masih asri.udaranya segar.penduduk lokal ramah. To pemda mohon kiranya memberikan fasilitas lebih lg spt jalan, toilet umum dan life guard . Saya yakin ini akan menjadi objek yg sgt unik dan menarik.;1;2
24;endanglw;Pantai 1, salah satu tempat wisata yang indah, terutama paa saat matahari mulai tengelam. Makanan di sekitar 1 juga tidak terlalu mahal. Acess menuju 1 juga tidak terlalu sulit dari Banyuwangi. Bisa direkomendasikan.;1;1
25;afifah f;ada bulu babinya;1;2
26;Wiwit B;1, tetapi tidak berpasir Merah. Perjalanan cukup jauh dan melelahkan dari pusat Kota Banyuwangi.  Tetapi sesampainya di lokasi, lelah itu terbayarkan karena pemandangan yang indah. Datanglah waktu sore, saat matahari terbenam.  Foto foto cantik di atas pasir halus;1;1
27;Halid T;Pantai 1 dan Ombak yang tinggi;1;2
28;aftarwilly;Explore south Banyuwangi.. enjoyed nice sunset 1. Icon Banyuwangi. Menyenangkan menikmati sunset disana;1;1
29;East Java S;salah satu spot surfing di bayuwangi. sangat jauh dari pusat kota. memiliki daya tarik wisata yang menawan. parkiran luas.;1;2
30;Andry B;Kelebihannya pantai ini sih bersih, rapi & bagus utk berselfie2 ria. Kekurangannya akses jalan menuju ke pantainya rusak. Tapi di perjalanan kami menuju pantai, disetiap perkarangan rumah warga banyak menanam pohon buah naga.;1;2
31;Nency K;Pantai yang cantik bisa liat ombak khas selatan. Hanya saja pada saat ini akses jalan harus memutar karna jalan utama yang sedang di perbaiki;1;1
32;hariyani;Seperti umumnya pantai di musim hujan, ombak yang besar menghempaskan sampah - sampah ke pinggiran.;1;2
33;nung_annisa;Pantai cantik yang kurang terawat;1;3
34;Astried R;Pantainya indah ketika sunrise. Sayangnya perjalanannya jauhhh sekali. Tempat menginapnya pun bukan berupa hotel tp rumah warga yg disewakan;1;1
35;Ariyanti D;Untuk fasilitas yang disediakan berbagai macam. Ada spot foto kekinian, kursi pantai, pedagang pernak penik pantai, dan persewaan aktivitas air. Namun untuk spot foto yang tersedia disini biasanya wisatawan diharuskan untuk membayar sejumlah uang menyewa properti.;1;2
36;Nila S;banyak hal yang tidak kita ketahui saat menginjakkan kaki di banyuwangi, datanglah berkunjung ke 1 sangat bagus untuk foto foto;1;1
37;DiahCeka;karna cukup terkenal untuk akses ke tempat ini tidak susah,namun sayangnya pengelolaan sampahnya agak kurang;1;2
38;zaka r;Rasanya sudah lebih dari 1 kali mengunjungi tempat ini, namun tetap terasa mengesankan. Panorama yang luas dengan view jajaran pulau di sebelah kanan dan 1 1 di sebelah kiri. Belum lagi ombaknya yang cukup tinggi memberikan kesan tersendiri di tempat wisata ini. Tapi, jarang ditemukan tempat teduh pinggir pantai untuk menikmati destinasi ini. Tipsnya adalah, jika berkunjung siang hari (jam 11 sampe 14.00) minimal bawa topi dan kaos lengan panjang, atau bisa pake sun block.;1;1
39;Rusdha Aulia;Ombak yang tenang namun jangan terkecoh kekuatannya;1;2
40;dammer_thetraveler;Sudah lama ingin berkunjung kesini. Baru kesampaian beberapa hari yang lalu. Pantai ini cukup bagus. Aksesnya relatif mudah karena hanya beberapa langkah dari parkiran mobil, keramaian pengunjung sedang (kami berkunjung bukan akhir pekan), pemandangan cukup spektakuler dengan cirikhas bukit hijau setinggi 200 meteran yang mencuat tak jauh dari bibir pantai. Sepintas mirip dengan pantai Papuma di Jember. So far pantai ini cukup layak dikunjungi (wisata keluarga, kelompok,dll).;1;1
41;atin w;Pantai yang bagus namun akses kesini jelek;1;2
42;febri77;Waktu sampai di pulau ini cuaca sedikit mendung, jadi tidak terlalu cerah. Pasirnya kuning kecoklatan semburat merah dan lembut. Pantainya lumayan bagus dan bersih. Pas sore menuju sunset tetiba cuacah cerah dan matahari muncul aahhh senangnyaa...pas sunset tiba itu keren bangett, merona orange merah cantik sekali. Pantai ini menjadi salah satu destinasi yang wajib dikunjungi ketika di banyuwangi;1;1
43;Ryan E;Jarak tempuh dari kota Banyuwangi jauh, jalan kecil dan sebagian berlubang, banyak warung, Pantai Lumayan;1;2
44;RoelaNoela;Ada saat-saat atau waktu yg tepat untuk menikmati suasana di 1, saatsore hari 16.00-17.00.;1;1
45;kurniasytr;dibutuhkan waktu kurang lebih 4 jam perjalanan dari banyuwangi ke pantai 1. jika anda ingin duduk-duduk bersantai ada kursi pantai yang disewakan sekitar 20.000 / jam.;1;3
46;HerlinaAzzahra;Dinamakan 1 karena batuannya berwarna merah ketika musim kemarau atau panas. Pantainya cukup bersih dengan beberapa fasilitas pariwisata telah tersedia di lokasi ini.;1;1
47;IjenseriesTrip;Jika ke Banyuwangi jangan lupakan untuk singgah di pantai ini. Karena menurut saya, 1 merupakan spot terbaik untuk menikmati matahari terbenam bersama keluarga dan teman.;1;2
48;ARIEF RAHARDJA;Pantai menghadap samudra yang ada pulau kecil di depannya....pulau tersebut berwarna coklat kemerahan...sehingga dinamai pantai 1...pemandangan cukup bagus...namun sayang jalan masuk ke pantai banyak dipenuhi mess pegawai tambang emas pt bsi dan nuansa pedesaan sudah tidak ada lagi...banyak pegawai tambang dengan seragamnya yang cukup arogan lalu lalang...;1;2
49;nyonyaprasetyo910;Pantai dengan pasir putih;1;3
50;Ratih Rachma Islami;kalau di tiket masuknya, namanya sih pantai pulo merah :) kenapa merah? karena saat sunset, pantulan warnanya akan menyebar ke seluruh pulau, pulau ini akan menjadi warna merah :) ;1;1
51;karizkeke;Datang ke sini sekitar jam 2 siang. Air laut sedang surut jadi lumayan bisa jalan ke pantai agak jauh. Ada tempat makan yang menyediakan makanan laut, rujak, es degan, bakso. Tempat parkir luas. Ada tempat duduk yang disewakan juga. Pantai bersih.;1;1
52;ditaike22;saya ke pantai 1 bersama dengan keluarga besar saya....untuk perjalanan ke sana jalannya kecil dan sering belok belok membingungkan,rute saya berangkat dan pulang berbeda ^_^ ternyata sampai disana semua bertanya pulau yg merah nya mana? ternyata yang dimaksud 1 adalah pulau menjulang yg terlihat besar dr pantai fasilitas yg ada hanya kursi pantai yang kita harus membayar per jam serta makanan yg dijual terbatas.... semoga ke depannya pantai 1 semakin bagus dengan peningkatan fasilitas yang ada;1;2
53;LinQian;Serba Lumayan...;1;2
54;maulinappany;Jaraknya jauh dari kota Banyuwangi. Dekat dengan tambang emas tumpang pitu. Tidak ada yang istimewa selain sebuah bongkahan batu di dekat pantai. Pemerintah kurang maksimal dalam pengelolaannya.;1;2
55;sulistyan;1 ini terletak di desa sumber agung, kecamatan pesanggrahan, banyuwangi, 1 ini adalah salah satu obyek wisata andalan kabupaten banyuwangi;1;3
56;DuniaNana;Nama pantai 1 atau orang lokal menyebutnya Pulo Merah memang jarang terdengar dibandingkan dengan Pantai 6. Tapi pantainya ga kalah sama Pantai 6 . Memang untuk ukuran ombak disini hanya mencapai 7 meter, kalah jauh dibandingkan dengan 6 . Tapi deburan ombak yang besar, pantai yang bersih dengan angin sepoi-sepoi dan pohon kelapa yang rindang bisa bikin kaliah jatuh cinta dengan pantai ini.  Dinamakan pantai pulo merah karena ada bukit dengan tanah merah . terletak tidak jauh dari pantai . saat siang kita ga bisa ke bukit tersebut dengan berjalan kaki tapi kalau sudah sore air laut akan surut dengan sendirinya dan karang-karang yang tadinya tertutup dengan air laut akan muncul dan membentuk seperti jalan/daratan yang bisa kita lalui. Sebaiknya gunakan sendal karen banyaknya bulu babi yang sembunyi.  Dan pantai ini sunsetnya juara! Merah membara . Instagramable banggedd :));1;1
57;Saiful J;Pantai yg di kelilingi bukit kecil...banyak warga sekitar datang untuk menikmati panorama pantai ada pula yg mandi serta selancar..inilah salah satu pantai yg enjoy buat kita bersantai;1;2
58;Adhie V;Pemandangn yang bagus , tempat bersih , cocok buat rekreasi sendiri , teman , pasangan , atau keluarga sekalipun. Akses jalan menuju tempat ini mudah karena sepanjang jalan arah menuju ini terdapat penunjuk arah. Penduduk sekeliling ramah. Pantai 1 yg bener2 keren abiss..____ __Banyuwangi __INDONESIA;1;1
59;isywara p;Pertama kali di pantai 1. Pantai yang yang menumpuk banyak sampah;1;2
60;Ahmad Q;Lagi tidak beruntung kebetulan cuaca hujan, jadi sedikit tergenang di area kursi santai sebelah timur. ;1;2
61;TikoDF;Disini kondisi pantainya tidak bersih dan sepi pengunjung.  Saran, coba jangan kunjungi di musim hujan September - Maret karena sering terjadi badai dan sampai dari laut membuat pantai menjadi kotor.;1;2
62;dinamust;Hari pertama menginjakan kaki di banyuwangi langsung diajak ke pantai merah ini...Nikmatin sunset sambil minum es kelapa muda...aaahhhhh nikmat mana yang kau dustakan???;1;1
63;khanidmafula;Entah mengapa pantai ini disebut dengan 1, padahal tanahnya tidak merah. :') Kelebihan datang kesini: - akses mudah ditempuh dengan roda 4 - biaya masuk tidak mahal - banyak spot foto - lokasi bersih  happy trip to this beautiful beach :D;1;2
64;Agus Andrijono;1 dengan pantainya yang eksotis menawarkan pesona wisata yang tak kalah dengan destinasi pantai yang lainnya, belum terlalu ramai dengan sarpras yang cukup memadai membuat obyek wisata layak atau bahkan harus dikunjungi oleh pelancong negeri yang tak bisa berkunjung ke Raja Ampat di Papua. Gugusan pulau yang melingkupi pantai 1 seakan mirip sekali dengan Raja Ampat yg asli, dan yg jelas disana banyak ditemukan Buah Naga Merah yg dijual cukup murah utk buah tangan kita, dan juga wisata kuliner Ikan Bakarnya yg harus dicicipi oleh para traveller yg berkunjung kesini.;1;1
65;Qothobaya tour & travel;Pantai 1 adalah salah satu pantai selatan yang hampir mirip dengan bali, pasir yang putih membuat wisatawan asing maupun lokal betah didalamnya, serta liukan ombak yang sangat pas untuk para peselencar peselancar mania ... lokasipun sangat lah strategis dan mampu dilalui oleh kendaraan apa saja ... jadi jangan lewatkan jika hendak berlibur di daerah banyuangi, dan saya sangat puas mengunjungi pantai 1 tersebut ...;1;1
66;sabilalfareza;Dingin;1;3
67;Sitikhjah;Tiket masuk 8ribu per orang  Pasir pantainya coklat kekuningan tapi halus, jika siang dipastikan panas menyengat dan untuk bersantai di kursi2 malas berpayung cantik dikenakan biaya 20rb per jam dan 50rb per 3jam.  ;1;3
68;Adi Winoto;Inilah salah satu destinasi wisata yang juga merupakan salah satu tempat dengan ombak terbaik di dunia. Memiliki garis pantai yang panjang dengan pasir putihnya, cukup membuat anda terkagung dengan tempat ini. Jika surut anda dapat melihat karang-karang kecil di bibir pantai dekat dengan 1. Pada bulan-bulan tertentu tempat ini digunakan untuk kompetisi surfing tingkat internasional.;1;1
69;Candranirukti;Indah namun kotor;1;3
70;bagasuari;Panasnya Pantai 1;1;2
71;jibbeni;Perjalanan jauh dr pusat kota terbayar lunas setelah sampe disini. Pemandangan yg indah, sunset yg indah dan kita bisa naik perahu untuk mengetahui kenapa disebut 1. Akses jalan dan fasilitas toilet harus jadi perhatian.;1;1
72;Luthfiyah;Datanglah ke 1, saat pagi, siang, atau senja hari Panasnya mentari berpadu dengan segarnya kelapa muda Celoteh anak-anak pantai yang berbaur dengan desau angin dan debur ombak Adalah sajian alam yang penuh romantika;1;1
73;ANDIMURSIDI;1 yang tidak merah;1;2
74;maboeh;Pantai dengan pasir putih;1;3
75;Santos3101;berkunjung bersama keluarga karena informasi 1 yang terkenal. kami berangkat dari hotel ketapang indah pada pukul 08.00 pagi dan sampai di lokasi pukul 10.30 setelah membeli makan siang terlebih dahulu di jalan sebelum pantai merah. saat itu dengan kondisi pantai yang relatif sepi, anak anak sangat senang bermain di pantai ini, pantai dengan pasir putih kemerahan. disini tersedia tempat duduk dengan payung yang disewakan rp.20.000/jam atau rp.50.000/3jam, Saat duduk duduk disini ada beberapa penawaran : 1. buah kelapa muda segar seharga Rp.10.000/buah 2. potongan buah segar dan bumbu rujaknya seharga Rp.5000/buah. kondisi pantai cukup bersih dan banyak turis dari luar negeri yang bermain surfing disini. Bila berkunjung ke banyuwangi lagi, pasti kami sekeluarga akan kembali lagi.;1;1
76;Riskybry;Agak kotor karena banyak asongan dan pengunjung yang buang sampah sembarangan;1;2
77;doni a;Pantai ini jaraknya lumayan jauh dari kota Banyuwangi, kemarin saya naik motor membutuhkan waktu sekitar 2 jam. cukup banyak petunjuk arah ke pantai ini di sepanjang jalan dari Banyuwang kota. karena saya datang pas weekday, pantai ini cukup sepi.;1;2
78;Slamet W;Pantai yg eksotik,biasanya pantai pemandanganya lautnya lepas tp klo di1,pantainya trdapat gundukan pulau kecil ditengah pantainya,cocok utk santai sembari menikmati kelapa muda,tp agk sayang jalan aksesnya kecil dan byk berlubang,tp terbayarkan dgn suasana pantainya.;1;1
79;Sovymahrni;Fasilitas disana seperti masjid jurang bersih dan kotor;1;2
80;Pau2809;Sayang sekali karena pantainya yang indah dan ombak yang menunjang untuk surfing tidak dipadani oleh fasilitas dan pilihan aktivitas yang bisa membuat pengunjung betah berlama lama disana;1;2
81;noarsrafting2016;Pantai ini sekilas tampak seperti karakter pantai Papuma di Jember Jawa Timur. Tapi di parkiran agak kotor dengan sampah.....sayang sekali. Sampah ini menjadi momok di seluruh tempat wisata di Indonesia khususnya wisata alam bebas. ;1;3
82;EzraNR2015;pantai ini memang agak sedikit jauh dari kota banyuwangi,  namun disekitar pantai juga banyak orang berjualan makanan maupun sovenier.;1;3
83;Angky;Pantai yang bersih. Waktu berkunjung yang baik adalah menjelang sunset, sehingga mendapatkan keindahan sesuangguhnya pantai ini.;1;1
84;Lisbet_310183;Lebih bagus kalau datang ke pantai pada sore hari untuk melihat sunset-nya. Pantainya masih bersih terawat. HTMnya murah, Rp. 8000/orang. Ada banyak kapal yang sedang menepi pada saat saya disini. OMbaknya tidak terlalu tinggi. cocok untuk tempat wisata dengan keluarga;1;1
85;FahmiP;Hanya perlu peningkatan untuk Musholla nya yang terkesan sempit dan kotor.;1;2
86;O6806BYmichaell;Berangkat dari Banyuwangi jam 12 Pm,selama 4 jam perjalanan kita akan tiba di 1.Biasanya kalau cuaca cerah baru bisa lihat warna merah pada jam 5-6pm.Itu karna pantulan dari warna emas.karan dulu daerah itu adalah daerah pertambangan.;1;3
87;trichristyani;akses cukup jauh dari kota banyuwangi namun jalanan dalam kondisi rusak dan licin . ;1;3
88;Hapsari P;Pantai 1 yang sangat cantik dgn pasir halus. Perjalanan jauh dari jakarta namun sangat puas. Menikmati sunset yang indah di sore hari. Rasanya masih kangen ingin kembali ke Banyuwangi;1;1
89;Yulianto Dwi Prasetyo;Anda dapat menikmati pemandangan yang sangat eksotis di Pantai 1 Banyuwangi. Saya sarankan anda untuk menikmatinya pada pagi hari atau sore hari karena pemandangan alamnya yang sangat indah dan masih alami. Anda dapat bermalam di sekitar pantai yang menyediakan banyak Home Stay dengan harga yang terjangkau.;1;1
90;ratnadws;Saya berlibur bersama teman saya ke Banyuwangi, dan salah satu tujuan kami adalah ke 1 ini.;1;3
91;Fajri_Nur_H;Sebuah pantai dan objek wisata di Kecamatan Pesanggaran, Banyuwangi. Pantai ini dikenal karena sebuah bukit hijau kecil bertanah merah yang terletak di dekat bibir pantai. Kalian bisa menuju pulau tersebut dengan berjalan kaki saat air laut surut. Di sana juga terdapat Pura di mana warga yang beragama Hindu disana melaksanakan upacara Mekiyis. jika senang dengan olahraga pantai, pas sekali dengan kondisi alam, dengan ombak yang pas untuk sufing, air yang jernih, dengan di balut pasir putihnya serta hijaunya alam sekitar 1.;1;1
92;FebruariCeria;Pantai pasir putih dengan ombak yang lumayan kenceng cocok untuk main surfing disini. Untuk melihat matahari terbenam disini sangat bagus sambil duduk santai di pinggiran pantai tetapi sayang waktu datang pantai agak kotor mungking kirimin sampah-sampah ranting dan mulai terjamah orang. Tetapi tidak terlalu buruk juga untuk bersantai-santai disini.;1;2
93;henny6357;Pada saat ke 1, sangat disayangkan pantai yang cantik mendapat kiriman sampah yg sangat menganggu pemandangan mata,pantainya bagus apalagi menikmati saat matahari tenggelam, terlihat merah di selingi dengan pemandangan para selancar yg sedang bermain dengan ombak yang tidak terlalu besar. anak-anak pantai 1 sangat lincah memainkan papan surfingnya.;1;2
94;Erwin S;saya sempat mampir ke 1 setelah berkunjung ke teluk hijau.  Tempatnya memang jauh sekali dari Banyuwangi namun pantainya masih asri.. dengan ombak kecil, pantai ini sangat bersahabat untuk keluarga yang ingin berlibur. HTM hanya 6000 per orang. Sangat worth it dengan kondisi pantai yabg cukup bagus;1;1
95;Nuris_isw;selain merupakan lokasi yang cocok untuk melihat sunset atau sekedar bersantai, pantai 1 juga merupakan tempat yang cocok jika kita ingin belajar berselancar, ombak di tempat ini tidak terlalu tinggi, jadi pas untuk belajar, pemandangan disini juga bagus, tempat ini selalu penuh pada hari libur, terutama libur hari raya;1;1
96;Aukaria R;Fasilitas publik buruk, saat musim liburan mencari toilet dan mushalla adalah hal yg berat di pantai 1....penuh sesak. Jika fasilitas mushalla dan toilet diperhatikan serta sampah ditangani dengan baik akan sangat baik.;1;2
97;Putri2013;Lokasi yang cukup jauh sekitar 2 jam perjalanan dengan sepeda motor dari pusat kota Banyuwangi. Pantai indah dengan sunset kemerah-merahan. Pecinta fotograhi bisa mendapatkan sunset cantik disini.;1;1
98;qqsora;menurut saya, yang paling di pantai ini adalah viewnya. banyak sekali surfer di sini. pasir pantainya sendiri menurut saya biasa saja. tempatnya ramai. saya lebih suka pantai yang masih sepi. harga makanan lumayan mahal untuk wisatawan hemat seperti saya dan teman-teman. :D;1;2
99;GrandTour609863;ikon dari pantai ini adalah adanya sebuah pulau yang menyerupai bukit. di pantai ini juga ombaknya sangat besar cocok untuk yg memiliki hoby surfing;1;1
100;Wahyu E;PM menjadi satu2nya objek wisata alam yang sempat kami kunjungi. Tapi bener..ndak nyesel. Tempatnya nyaman dan pas kunjung tombaknya tidak terlalu besar, jadi bisa main air dengan anak :) Kontribusi masuk untuk orang Rp 5000/orang (week-day) dan kontribusi kendaraan/mobil Rp 5000,-. Area parkir luas dan ada warung2 disekitar lokasi. Di pantai, ada payung pantai+2kursi,disewakan Rp 20.000/jam. Es kelapa muda Rp 10.000 Bersantai di kursi, melihat anak bermain pasir sambil minum es kelapa muda..ah..sungguh nikmat...;1;1
101;dhathutu;kata guide ini adalah pantai legian jawa lol, fasiltas kurang wc ,parkir , makanan buat sakit perut , kalau nyewa kursi mendingan harian hanya 50rb , kalau kesini usahakan jangan hari libur ini berubah seperti pasar malam , mau nimat hari kerja perginya menikmati ketenangan;1;2
102;YantiResia;Pantai yang bagus,namun sayang banyak org yg berjualan disekitar pantai,saya sarankan agar jangan membuang sampah sembarangan, krn bs mengotori pantai.;1;1
103;zahwaarifin;Menyunjungi Red Island pada penghujung bulan Desember adalah hal buruk untuk saya karena ombaknya cukup besar ;1;2
104;Priyo;Pantai 1 adalah pantai biasa saja;1;2
105;Ludfigry;Muwantab..... P.Merah....liburan tahun baru 2016 sungguh menawan bagi turis domistik lebi2 irit dr pd ke bali d jatim sendiri lebih fres...n alami__________;1;1
106;luthfiyah2015;Suatu sore di Pantai 1, Pandanglah di kejauhan, pada seonggok bukit yang seolah mengambang di atas samudera Warnanya yang semburat merah begitu indah diterpa matahari jingga yang hampir jatuh sempurna Tak terbayang keindahan serupa entah bisa kutemukan di mana Duduk di atas pasir yang bersih....  ;1;1
107;dwin2014;Pantai yg indah dan menawan...cocok buat wisata keluarga. Harga makanan jg msh relatif terjangkau, bersih dan bersahaja;1;1
108;Blue .;Pantai yang indah tetapiÉ;1;3
109;aminsie;Pantai ini sebetulnya sangat indah, cuman masih minim fasilitas, perjalanan dari banyuwangi ke 1 sekitar 3 jam, meskipun jalannya uda diaspal, tapi agak sempit, dan masih minimnya fasilitas, mini market, spbu, hotel, yg tersedia hanya rumah penduduk yg di sewakan;1;2
110;Anna Flo X;Pantai yang sekarang jadi salah satu andalan wisata di Banyuwangi,saat ke sana karena musim hujan pantai kotor karena limpahan sampah dari muara sungai;1;2
111;adityasp13;1 menjadi destinasi selanjutnya setelah menikmati green bay, wisatawannya cukup ramai. Ada bukit ditengah tengah pantai yang menjadi ikon tersendiri di 1.;1;1
112;Deria_ladita;1 ini katanya phi phi islandnya indonesia , kalau phi phi island itu kan dithailand, tapi ini red island punyanya indonesia, dan ini bagus banget dari mulai perjalanannya itu juga indah banget .  ditahun ini sempet ada perlombaan surfing diindonesia tepatnya di 1, karena ombaknya yang lumayan asyik buat dijadikan tempat surfing.  1 ini sangat indah , ayo buruan ke 1 dan jangan lupa jaga kebersihan disana ya :)  he sea, once it casts its spell, holds one in its net of wonder forever. ~ Jacques C;1;1
113;nimasayuw;1 lokasinya dibanyuwangi dengan kendaraan roda 4 sekalipun. Hanya 30menit dari jalan raya untuk menuju pantai.;1;3
114;Alfatihah R;Masih sepi;1;2
115;prinszn21;Belum banyak orang yg tau mengenai pantai merah di banyuwangi ini, Pantainya tidak bisa utk berenang ;1;2
116;PoerJaya;Cukup aneh nama pantainya...tapi anda tidak akan menemukan apa yang dimaksud dengan pantai 1.;1;2
117;s0363ng;Bagi anda yang pernah ke Senggigi, Lombok, kemudian main ke 1, pasti akan mengatakan ngapain jauh-jauh ke senggigi, cukup kesini aja. Dengan latar pasir putih, bersih, dan lembut maka tak puas kalau ke lokasi ini cuma sebentar. Mau nikmati sunrise bisa, sunset lebih mantap. Pokoknya gak rugi main kesini. Namun secara lokasi masih perlu perbaikan jalan serta angkutan publik, sehingga mudah dijangkau;1;1
118;Irma K;Pantai ini bisa dijangkau dengan mobil dalam waktu 1,5 jam dari Banyuwangi, laut biru, dan menjadi salah satu ikon wisata Kab. Banyuwangi. Akhir akhir ini sering menjadi tempat International Surfing Competition.;1;3
119;Agung Chrisnayanto;Perlu peningkatan fasilitas;1;2
120;zerahya123;bersama orang tercinta memang sangat tepat ke pantai ini, pemandangan yang indah, debur ombak yang laksana musik alam benar-benar menambah keromantisan saat bersamanya :);1;1
121;YuSens18;Akhirnya saya perhatikan pasirnya memang benar gak putih tapi hitam, tidak sesuai dengan namanya ;1;2
122;IntanSariSmile;Pantai yang indah dengan ombak yang cukup besar. cocok untuk surfing dan hunting foto. Pantainya bersih dan indah;1;1
123;Rezahytr;Pesanggaran adalah nama kecamatan di dekat 1. Sayang setelah terminal Pesanggaran tidak ada angkutan umum, alternatifnya hanya naik ojek (sekitar Rp. 50.000 per orang) atau carter mobil;1;3
124;wulandari20;pantai sepi di ujung banyuwangi;1;3
